Relative Infectivity,Fraction Asymptomatic,Fraction of detected asymptomatics,Latent Period,Latent Period (lower 95%),Latent Period (upper 95%),Asymptomatic Infectious Period,Asymptomatic Infectious Period (lower 95%),Asymptomatic Infectious Period (upper 95%),Transmission Rate,Transmission Rate (lower 95%),Transmission Rate (upper 95%),Symptomatic Reporting Lag,Symptomatic Reporting Lag (lower 95%),Symptomatic Reporting Lag (upper 95%),Intital Exposed,Intital Exposed (lower 95%),Intital Exposed (upper 95%),Initial Infected,Initial Infected (lower 95%),Initial Infected (upper 95%),Protection Rate,Protection Rate (lower 95%),Protection Rate (upper 95%),Recovery Rate,Recovery Rate (lower 95%),Recovery Rate (upper 95%),Mortality Rate,Mortality Rate (lower 95%),Mortality Rate (upper 95%),Basic Reproductive Number,Basic Reproductive Number (lower 95%),Basic Reproductive Number (upper 95%)
0.25,0.0,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.550,1.355,1.789,2.229,2.192,2.305,43,30,63,39,29,51,0.040,0.034,0.047,0.0191,0.0184,0.0198,0.0042,0.0039,0.0046,3.456,2.993,4.041
0.25,0.0,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.552,1.351,1.797,2.230,2.190,2.305,43,29,70,39,27,50,0.040,0.034,0.046,0.0191,0.0184,0.0199,0.0042,0.0039,0.0046,3.462,2.981,4.038
0.25,0.0,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.552,1.361,1.800,2.232,2.191,2.304,43,29,66,39,27,51,0.040,0.034,0.047,0.0191,0.0184,0.0198,0.0042,0.0039,0.0046,3.466,3.010,4.072
0.25,0.2,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.598,1.405,1.806,2.236,2.177,2.338,41,25,75,39,25,51,0.037,0.032,0.043,0.0193,0.0185,0.0200,0.0043,0.0039,0.0046,3.179,2.780,3.626
0.25,0.2,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.600,1.408,1.825,2.241,2.189,2.328,40,24,74,38,25,50,0.037,0.032,0.043,0.0195,0.0188,0.0202,0.0043,0.0040,0.0047,3.174,2.774,3.680
0.25,0.2,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.598,1.419,1.823,2.244,2.184,2.346,41,21,74,38,23,50,0.037,0.032,0.043,0.0199,0.0192,0.0207,0.0044,0.0041,0.0048,3.141,2.771,3.608
0.25,0.4,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.661,1.482,1.838,2.253,2.152,2.405,36,16,72,40,25,55,0.034,0.029,0.040,0.0196,0.0189,0.0204,0.0043,0.0040,0.0047,2.914,2.566,3.276
0.25,0.4,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.676,1.477,1.860,2.250,2.167,2.409,35,16,74,38,24,51,0.034,0.029,0.039,0.0202,0.0195,0.0210,0.0045,0.0041,0.0048,2.902,2.548,3.264
0.25,0.4,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.705,1.513,1.895,2.278,2.156,2.454,36,9,71,33,19,45,0.035,0.030,0.040,0.0214,0.0206,0.0223,0.0047,0.0044,0.0051,2.907,2.582,3.313
0.25,0.6,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.737,1.539,1.929,2.268,2.003,2.650,55,2,82,34,23,49,0.030,0.025,0.036,0.0203,0.0195,0.0211,0.0045,0.0041,0.0049,2.619,2.325,2.930
0.25,0.6,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.746,1.549,1.934,2.296,2.000,2.776,58,3,88,31,21,47,0.030,0.025,0.035,0.0216,0.0208,0.0225,0.0048,0.0044,0.0052,2.592,2.291,2.921
0.25,0.6,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.748,1.489,1.944,2.312,2.013,2.997,56,10,83,28,19,44,0.029,0.024,0.034,0.0243,0.0232,0.0254,0.0054,0.0049,0.0058,2.493,2.215,2.819
0.25,0.8,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.915,1.576,2.139,2.527,2.000,7.873,48,11,81,33,23,62,0.028,0.023,0.038,0.0224,0.0214,0.0239,0.0050,0.0046,0.0055,2.487,2.222,3.502
0.25,0.8,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.839,1.452,2.108,3.394,2.000,8.000,56,15,128,32,20,63,0.029,0.023,0.039,0.0265,0.0247,0.0301,0.0059,0.0053,0.0067,2.589,2.162,3.678
0.25,0.8,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.900,1.503,2.189,3.089,2.000,8.000,52,15,177,23,13,39,0.027,0.021,0.036,0.0341,0.0312,0.0413,0.0076,0.0067,0.0092,2.414,2.027,3.515
0.5,0.0,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.549,1.358,1.797,2.231,2.186,2.308,43,29,69,39,27,50,0.040,0.035,0.047,0.0191,0.0183,0.0198,0.0042,0.0039,0.0046,3.457,3.001,4.058
0.5,0.0,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.550,1.355,1.798,2.231,2.190,2.315,44,30,66,39,27,49,0.040,0.034,0.047,0.0191,0.0184,0.0198,0.0042,0.0039,0.0046,3.460,2.990,4.048
0.5,0.0,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.549,1.349,1.789,2.230,2.188,2.309,43,26,69,39,29,51,0.040,0.034,0.046,0.0191,0.0184,0.0199,0.0042,0.0039,0.0045,3.455,2.974,4.005
0.5,0.2,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.500,1.330,1.712,2.205,2.160,2.276,38,23,68,40,27,52,0.038,0.033,0.044,0.0193,0.0186,0.0200,0.0043,0.0039,0.0046,3.249,2.860,3.718
0.5,0.2,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.504,1.336,1.710,2.213,2.170,2.297,38,26,70,39,27,51,0.038,0.033,0.044,0.0195,0.0187,0.0203,0.0043,0.0040,0.0047,3.235,2.871,3.697
0.5,0.2,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.507,1.342,1.715,2.216,2.170,2.289,37,20,67,38,26,50,0.037,0.032,0.043,0.0200,0.0192,0.0207,0.0044,0.0041,0.0048,3.182,2.824,3.644
0.5,0.4,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.393,1.251,1.551,2.230,2.065,2.714,39,12,74,42,29,58,0.035,0.029,0.040,0.0196,0.0189,0.0203,0.0043,0.0040,0.0047,2.982,2.642,3.411
0.5,0.4,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.454,1.294,1.610,2.189,2.120,2.310,33,14,65,37,26,52,0.036,0.030,0.040,0.0202,0.0194,0.0210,0.0045,0.0041,0.0048,3.017,2.664,3.372
0.5,0.4,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.458,1.283,1.637,2.215,2.001,2.439,31,2,67,36,24,52,0.035,0.029,0.040,0.0214,0.0206,0.0222,0.0047,0.0044,0.0051,2.923,2.567,3.300
0.5,0.6,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.333,1.180,1.492,2.106,2.041,2.251,53,31,74,34,24,46,0.031,0.026,0.036,0.0203,0.0195,0.0211,0.0045,0.0041,0.0049,2.729,2.437,3.068
0.5,0.6,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.332,1.193,1.490,2.210,2.000,2.664,47,5,76,34,23,47,0.031,0.026,0.036,0.0216,0.0207,0.0224,0.0048,0.0044,0.0051,2.697,2.418,3.008
0.5,0.6,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.358,1.108,1.541,2.379,2.000,4.751,33,1,63,33,21,56,0.031,0.025,0.038,0.0243,0.0232,0.0258,0.0054,0.0050,0.0059,2.650,2.336,3.225
0.5,0.8,0.05,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.176,0.976,1.370,4.063,2.000,8.000,42,11,84,45,26,80,0.032,0.024,0.042,0.0230,0.0215,0.0250,0.0051,0.0046,0.0057,2.804,2.339,3.657
0.5,0.8,0.1,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.232,1.023,1.399,2.746,2.000,8.000,46,13,72,30,20,59,0.028,0.023,0.037,0.0261,0.0246,0.0296,0.0058,0.0052,0.0066,2.537,2.218,3.284
0.5,0.8,0.2,3.4949636489459666,2.820867334887965,4.334704496043407,4.3067571658016774,3.176033767435333,5.35278460669136,1.252,1.024,1.441,3.194,2.000,8.000,41,15,73,24,16,44,0.027,0.022,0.034,0.0342,0.0311,0.0417,0.0076,0.0067,0.0093,2.464,2.117,3.273
